id,price,rooms,bathrooms,square_meters,zone,city,price_per_m2
223,38000,3,1,70,Costa Atlántica,Mar del Tuyu,543
224,38000,3,2,60,Costa Atlántica,Mar del Tuyu,633
225,38500,3,1,70,Costa Atlántica,Mar del Tuyu,550
226,39500,3,1,65,Costa Atlántica,Mar del Tuyu,608
227,39999,4,2,65,Costa Atlántica,Mar del Tuyu,615
228,40000,3,2,66,Costa Atlántica,Mar del Tuyu,606
229,40000,4,2,55,Costa Atlántica,Mar del Tuyu,727
230,40000,4,2,50,Costa Atlántica,Mar del Tuyu,800
231,43000,4,2,35,Costa Atlántica,Mar del Tuyu,1229
232,43000,4,2,50,Costa Atlántica,Mar del Tuyu,860
233,43900,4,1,65,Costa Atlántica,Mar del Tuyu,675
234,45000,3,2,60,Costa Atlántica,Mar del Tuyu,750
235,48000,3,1,110,Costa Atlántica,Mar del Tuyu,436
236,53000,5,3,45,Costa Atlántica,Mar del Tuyu,1178
237,55000,3,1,75,Costa Atlántica,Mar del Tuyu,733
238,55000,4,2,90,Costa Atlántica,Mar del Tuyu,611
239,55000,3,1,71,Costa Atlántica,Mar del Tuyu,775
240,55000,4,2,45,Costa Atlántica,Mar del Tuyu,1222
241,55000,4,2,50,Costa Atlántica,Mar del Tuyu,1100
242,57000,3,1,60,Costa Atlántica,Mar del Tuyu,950
243,57000,3,1,81,Costa Atlántica,Mar del Tuyu,704
244,59000,4,2,50,Costa Atlántica,Mar del Tuyu,1180
245,59500,4,2,65,Costa Atlántica,Mar del Tuyu,915
246,65000,5,2,60,Costa Atlántica,Mar del Tuyu,1083
247,74000,3,2,80,Costa Atlántica,Mar del Tuyu,925
248,75000,4,2,70,Costa Atlántica,Mar del Tuyu,1071
249,98000,2,1,60,Costa Atlántica,Mar del Tuyu,1633
250,120000,5,3,170,Costa Atlántica,Mar del Tuyu,706
251,140000,4,2,138,Costa Atlántica,Mar del Tuyu,1014
252,200000,5,2,55,Costa Atlántica,Mar del Tuyu,3636
253,94900,3,1,80,Costa Atlántica,Pinamar,1186
254,109000,3,2,57,Costa Atlántica,Pinamar,1912
255,120000,4,2,53,Costa Atlántica,Pinamar,2264
256,150000,5,3,140,Costa Atlántica,Pinamar,1071
257,165000,4,2,120,Costa Atlántica,Pinamar,1375
258,188000,5,2,148,Costa Atlántica,Pinamar,1270
259,204000,5,3,204,Costa Atlántica,Pinamar,1000
260,205000,4,4,100,Costa Atlántica,Pinamar,2050
261,208000,5,4,215,Costa Atlántica,Pinamar,967
262,215000,5,2,215,Costa Atlántica,Pinamar,1000
263,230000,5,2,204,Costa Atlántica,Pinamar,1127
264,239000,5,3,230,Costa Atlántica,Pinamar,1039
265,250000,5,3,164,Costa Atlántica,Pinamar,1524
266,264000,5,4,270,Costa Atlántica,Pinamar,978
267,265000,5,3,333,Costa Atlántica,Pinamar,796
268,269000,5,4,185,Costa Atlántica,Pinamar,1454
269,276000,6,3,235,Costa Atlántica,Pinamar,1174
270,289000,5,3,210,Costa Atlántica,Pinamar,1376
271,295000,4,3,168,Costa Atlántica,Pinamar,1756
272,300000,3,2,89,Costa Atlántica,Pinamar,3371
273,325000,4,2,189,Costa Atlántica,Pinamar,1720
274,335000,4,3,200,Costa Atlántica,Pinamar,1675
275,365000,5,2,170,Costa Atlántica,Pinamar,2147
276,380000,6,3,350,Costa Atlántica,Pinamar,1086
277,395000,7,5,292,Costa Atlántica,Pinamar,1353
278,398000,4,2,210,Costa Atlántica,Pinamar,1895
279,400000,4,3,200,Costa Atlántica,Pinamar,2000
280,420000,4,4,300,Costa Atlántica,Pinamar,1400
281,420000,4,2,210,Costa Atlántica,Pinamar,2000
282,420000,5,2,240,Costa Atlántica,Pinamar,1750
283,429000,5,3,230,Costa Atlántica,Pinamar,1865
284,450000,4,2,250,Costa Atlántica,Pinamar,1800
285,460000,7,3,215,Costa Atlántica,Pinamar,2140
286,470000,5,3,295,Costa Atlántica,Pinamar,1593
287,470000,5,3,227,Costa Atlántica,Pinamar,2070
288,490000,5,5,380,Costa Atlántica,Pinamar,1289
289,495000,5,3,215,Costa Atlántica,Pinamar,2302
290,549000,8,4,515,Costa Atlántica,Pinamar,1066
291,550000,5,3,330,Costa Atlántica,Pinamar,1667
292,600000,7,7,420,Costa Atlántica,Pinamar,1429
293,645000,8,3,350,Costa Atlántica,Pinamar,1843
294,760000,8,6,400,Costa Atlántica,Pinamar,1900
295,890000,6,4,400,Costa Atlántica,Pinamar,2225
296,1050000,6,5,497,Costa Atlántica,Pinamar,2113
297,1250000,5,3,350,Costa Atlántica,Pinamar,3571
298,1950000,6,5,380,Costa Atlántica,Pinamar,5132
299,40000,4,2,70,Costa Atlántica,Villa Gesell,571
300,45000,5,2,106,Costa Atlántica,Villa Gesell,425
301,55000,3,2,36,Costa Atlántica,Villa Gesell,1528
302,55000,4,1,50,Costa Atlántica,Villa Gesell,1100
303,62000,4,1,58,Costa Atlántica,Villa Gesell,1069
304,62000,3,1,67,Costa Atlántica,Villa Gesell,925
305,64999,4,2,80,Costa Atlántica,Villa Gesell,812
306,65000,4,1,61,Costa Atlántica,Villa Gesell,1066
307,65000,3,1,86,Costa Atlántica,Villa Gesell,756
308,67000,3,1,70,Costa Atlántica,Villa Gesell,957
309,68000,4,1,70,Costa Atlántica,Villa Gesell,971
310,70000,3,1,65,Costa Atlántica,Villa Gesell,1077
311,72000,3,1,65,Costa Atlántica,Villa Gesell,1108
312,75000,3,1,48,Costa Atlántica,Villa Gesell,1562
313,78000,3,2,81,Costa Atlántica,Villa Gesell,963
314,79000,3,2,124,Costa Atlántica,Villa Gesell,637
315,82000,3,3,80,Costa Atlántica,Villa Gesell,1025
316,89000,3,2,89,Costa Atlántica,Villa Gesell,1000
317,95000,3,2,110,Costa Atlántica,Villa Gesell,864
318,98000,4,2,97,Costa Atlántica,Villa Gesell,1010
319,105000,3,1,72,Costa Atlántica,Villa Gesell,1458
320,110000,5,4,100,Costa Atlántica,Villa Gesell,1100
321,112000,3,2,91,Costa Atlántica,Villa Gesell,1231
322,115000,3,2,87,Costa Atlántica,Villa Gesell,1322
323,129000,4,2,158,Costa Atlántica,Villa Gesell,816
324,130000,4,2,104,Costa Atlántica,Villa Gesell,1250
325,135000,4,2,215,Costa Atlántica,Villa Gesell,628
326,139900,5,2,133,Costa Atlántica,Villa Gesell,1052
327,145000,5,2,118,Costa Atlántica,Villa Gesell,1229
328,155000,5,2,164,Costa Atlántica,Villa Gesell,945
329,165000,6,3,170,Costa Atlántica,Villa Gesell,971
330,175000,11,5,154,Costa Atlántica,Villa Gesell,1136
331,175000,6,2,150,Costa Atlántica,Villa Gesell,1167
332,178900,4,2,112,Costa Atlántica,Villa Gesell,1597
333,185000,4,3,145,Costa Atlántica,Villa Gesell,1276
334,195000,3,2,185,Costa Atlántica,Villa Gesell,1054
335,210000,5,4,180,Costa Atlántica,Villa Gesell,1167
336,230000,4,2,190,Costa Atlántica,Villa Gesell,1211
337,260000,4,2,178,Costa Atlántica,Villa Gesell,1461
338,265000,5,3,168,Costa Atlántica,Villa Gesell,1577
339,335000,6,5,255,Costa Atlántica,Villa Gesell,1314
340,390000,9,8,200,Costa Atlántica,Villa Gesell,1950
341,450000,6,3,450,Costa Atlántica,Villa Gesell,1000
342,500000,3,2,390,Costa Atlántica,Villa Gesell,1282
343,55000,4,1,87,Córdoba,Colon,632
344,79000,4,2,146,Córdoba,Colon,541
345,80000,8,3,298,Córdoba,Colon,268
346,90000,3,2,110,Córdoba,Colon,818
347,110000,5,1,90,Córdoba,Colon,1222
348,110000,8,2,200,Córdoba,Colon,550
349,120000,7,2,173,Córdoba,Colon,694
350,120000,6,2,220,Córdoba,Colon,545
351,135000,6,2,281,Córdoba,Colon,480
352,140000,5,2,220,Córdoba,Colon,636
353,150000,10,2,200,Córdoba,Colon,750
354,150000,6,3,208,Córdoba,Colon,721
355,150000,5,2,142,Córdoba,Colon,1056
356,154000,8,2,156,Córdoba,Colon,987
357,158000,4,1,200,Córdoba,Colon,790
358,160000,2,3,199,Córdoba,Colon,804
359,160000,6,2,142,Córdoba,Colon,1127
360,160000,9,2,140,Córdoba,Colon,1143
361,170000,5,2,149,Córdoba,Colon,1141
362,172000,6,2,159,Córdoba,Colon,1082
363,175000,3,2,175,Córdoba,Colon,1000
364,180000,5,3,220,Córdoba,Colon,818
365,180000,12,3,259,Córdoba,Colon,695
366,180000,8,3,220,Córdoba,Colon,818
367,190000,4,3,190,Córdoba,Colon,1000
368,190000,8,3,300,Córdoba,Colon,633
369,250000,8,2,143,Córdoba,Colon,1748
370,290000,11,2,293,Córdoba,Colon,990
371,291000,6,2,410,Córdoba,Colon,710
372,300000,8,3,270,Córdoba,Colon,1111
373,315000,7,3,308,Córdoba,Colon,1023
