id,price,rooms,bathrooms,square_meters,zone,city,price_per_m2
265,239000,5,3,230,Costa Atlántica,Pinamar,1039
266,264000,5,4,270,Costa Atlántica,Pinamar,978
267,265000,5,3,333,Costa Atlántica,Pinamar,796
268,268000,4,2,114,Costa Atlántica,Pinamar,2351
269,269000,5,4,185,Costa Atlántica,Pinamar,1454
270,276000,6,3,235,Costa Atlántica,Pinamar,1174
271,295000,5,3,188,Costa Atlántica,Pinamar,1569
272,295000,4,3,168,Costa Atlántica,Pinamar,1756
273,325000,4,2,189,Costa Atlántica,Pinamar,1720
274,335000,4,3,200,Costa Atlántica,Pinamar,1675
275,340000,4,2,100,Costa Atlántica,Pinamar,3400
276,365000,5,2,170,Costa Atlántica,Pinamar,2147
277,380000,6,3,350,Costa Atlántica,Pinamar,1086
278,395000,7,5,292,Costa Atlántica,Pinamar,1353
279,398000,4,2,155,Costa Atlántica,Pinamar,2568
280,400000,4,3,200,Costa Atlántica,Pinamar,2000
281,420000,4,4,300,Costa Atlántica,Pinamar,1400
282,420000,4,2,210,Costa Atlántica,Pinamar,2000
283,420000,5,2,240,Costa Atlántica,Pinamar,1750
284,429000,5,3,230,Costa Atlántica,Pinamar,1865
285,445000,4,3,235,Costa Atlántica,Pinamar,1894
286,445000,5,3,250,Costa Atlántica,Pinamar,1780
287,450000,4,2,250,Costa Atlántica,Pinamar,1800
288,460000,7,3,215,Costa Atlántica,Pinamar,2140
289,470000,5,3,295,Costa Atlántica,Pinamar,1593
290,470000,5,3,227,Costa Atlántica,Pinamar,2070
291,490000,5,5,380,Costa Atlántica,Pinamar,1289
292,549000,8,4,515,Costa Atlántica,Pinamar,1066
293,550000,5,3,330,Costa Atlántica,Pinamar,1667
294,570000,6,4,269,Costa Atlántica,Pinamar,2119
295,645000,8,3,350,Costa Atlántica,Pinamar,1843
296,890000,6,4,400,Costa Atlántica,Pinamar,2225
297,950000,5,3,449,Costa Atlántica,Pinamar,2116
298,1050000,6,5,497,Costa Atlántica,Pinamar,2113
299,1250000,5,3,350,Costa Atlántica,Pinamar,3571
300,40000,4,2,70,Costa Atlántica,Villa Gesell,571
301,45000,5,2,106,Costa Atlántica,Villa Gesell,425
302,55000,3,2,36,Costa Atlántica,Villa Gesell,1528
303,55000,4,1,50,Costa Atlántica,Villa Gesell,1100
304,62000,4,1,58,Costa Atlántica,Villa Gesell,1069
305,62000,3,1,67,Costa Atlántica,Villa Gesell,925
306,64999,4,2,80,Costa Atlántica,Villa Gesell,812
307,65000,4,1,61,Costa Atlántica,Villa Gesell,1066
308,65000,3,1,86,Costa Atlántica,Villa Gesell,756
309,67000,3,1,70,Costa Atlántica,Villa Gesell,957
310,68000,4,1,70,Costa Atlántica,Villa Gesell,971
311,70000,3,1,65,Costa Atlántica,Villa Gesell,1077
312,70000,6,3,141,Costa Atlántica,Villa Gesell,496
313,72000,3,1,65,Costa Atlántica,Villa Gesell,1108
314,75000,3,1,48,Costa Atlántica,Villa Gesell,1562
315,78000,3,2,81,Costa Atlántica,Villa Gesell,963
316,79000,3,2,124,Costa Atlántica,Villa Gesell,637
317,82000,3,3,80,Costa Atlántica,Villa Gesell,1025
318,89000,3,2,89,Costa Atlántica,Villa Gesell,1000
319,95000,3,2,110,Costa Atlántica,Villa Gesell,864
320,98000,4,2,97,Costa Atlántica,Villa Gesell,1010
321,105000,3,1,72,Costa Atlántica,Villa Gesell,1458
322,110000,5,4,100,Costa Atlántica,Villa Gesell,1100
323,115000,3,2,87,Costa Atlántica,Villa Gesell,1322
324,129000,4,2,158,Costa Atlántica,Villa Gesell,816
325,130000,4,2,104,Costa Atlántica,Villa Gesell,1250
326,135000,4,2,215,Costa Atlántica,Villa Gesell,628
327,139900,5,2,133,Costa Atlántica,Villa Gesell,1052
328,145000,5,2,118,Costa Atlántica,Villa Gesell,1229
329,155000,5,2,164,Costa Atlántica,Villa Gesell,945
330,165000,6,3,170,Costa Atlántica,Villa Gesell,971
331,175000,11,5,154,Costa Atlántica,Villa Gesell,1136
332,175000,6,2,150,Costa Atlántica,Villa Gesell,1167
333,178900,4,2,112,Costa Atlántica,Villa Gesell,1597
334,185000,4,3,145,Costa Atlántica,Villa Gesell,1276
335,195000,3,2,185,Costa Atlántica,Villa Gesell,1054
336,210000,5,4,180,Costa Atlántica,Villa Gesell,1167
337,230000,4,2,190,Costa Atlántica,Villa Gesell,1211
338,260000,4,2,178,Costa Atlántica,Villa Gesell,1461
339,265000,5,3,168,Costa Atlántica,Villa Gesell,1577
340,335000,6,5,255,Costa Atlántica,Villa Gesell,1314
341,390000,9,8,200,Costa Atlántica,Villa Gesell,1950
342,450000,6,3,450,Costa Atlántica,Villa Gesell,1000
343,500000,3,2,390,Costa Atlántica,Villa Gesell,1282
344,29990,3,1,121,Córdoba,Colon,248
345,79000,4,2,146,Córdoba,Colon,541
346,80000,8,3,298,Córdoba,Colon,268
347,90000,3,2,110,Córdoba,Colon,818
348,110000,5,1,90,Córdoba,Colon,1222
349,110000,8,2,200,Córdoba,Colon,550
350,120000,7,2,173,Córdoba,Colon,694
351,120000,6,2,220,Córdoba,Colon,545
352,135000,6,2,281,Córdoba,Colon,480
353,140000,5,2,220,Córdoba,Colon,636
354,150000,6,3,208,Córdoba,Colon,721
355,150000,5,2,142,Córdoba,Colon,1056
356,154000,8,2,156,Córdoba,Colon,987
357,158000,4,1,200,Córdoba,Colon,790
358,160000,2,3,199,Córdoba,Colon,804
359,160000,6,2,142,Córdoba,Colon,1127
360,160000,9,2,140,Córdoba,Colon,1143
361,170000,5,2,149,Córdoba,Colon,1141
362,172000,6,2,159,Córdoba,Colon,1082
363,175000,3,2,175,Córdoba,Colon,1000
364,180000,12,3,259,Córdoba,Colon,695
365,180000,5,3,220,Córdoba,Colon,818
366,180000,8,3,220,Córdoba,Colon,818
367,190000,4,3,190,Córdoba,Colon,1000
368,190000,8,3,300,Córdoba,Colon,633
369,250000,8,2,143,Córdoba,Colon,1748
370,290000,11,2,293,Córdoba,Colon,990
371,291000,6,2,410,Córdoba,Colon,710
372,300000,8,3,270,Córdoba,Colon,1111
373,315000,7,3,308,Córdoba,Colon,1023
374,320000,12,2,192,Córdoba,Colon,1667
375,320000,8,3,260,Córdoba,Colon,1231
376,320000,8,3,420,Córdoba,Colon,762
377,340000,4,2,270,Córdoba,Colon,1259
378,350000,7,3,170,Córdoba,Colon,2059
379,360000,6,3,362,Córdoba,Colon,994
380,380000,5,2,250,Córdoba,Colon,1520
381,380000,10,3,469,Córdoba,Colon,810
382,450000,6,3,300,Córdoba,Colon,1500
383,450000,3,3,480,Córdoba,Colon,938
384,460000,5,2,420,Córdoba,Colon,1095
385,460000,6,2,260,Córdoba,Colon,1769
386,480000,5,2,351,Córdoba,Colon,1368
387,490000,8,3,135,Córdoba,Colon,3630
388,649000,4,4,500,Córdoba,Colon,1298
389,800000,8,4,680,Córdoba,Colon,1176
390,74000,4,1,180,Córdoba,Córdoba,411
391,75000,8,2,140,Córdoba,Córdoba,536
392,87000,5,2,94,Córdoba,Córdoba,926
393,108000,6,1,80,Córdoba,Córdoba,1350
394,109500,4,1,78,Córdoba,Córdoba,1404
395,110000,8,2,180,Córdoba,Córdoba,611
396,110000,6,2,180,Córdoba,Córdoba,611
397,115000,4,1,81,Córdoba,Córdoba,1420
398,129000,9,3,200,Córdoba,Córdoba,645
399,145000,5,3,140,Córdoba,Córdoba,1036
400,145000,3,2,152,Córdoba,Córdoba,954
401,155000,5,1,90,Córdoba,Córdoba,1722
402,155000,3,2,130,Córdoba,Córdoba,1192
403,165000,6,3,170,Córdoba,Córdoba,971
404,169000,5,2,179,Córdoba,Córdoba,944
405,173900,7,3,228,Córdoba,Córdoba,763
406,175000,5,2,266,Córdoba,Córdoba,658
407,175000,10,2,222,Córdoba,Córdoba,788
408,180000,5,2,236,Córdoba,Córdoba,763
409,189000,7,3,330,Córdoba,Córdoba,573
410,189999,3,3,127,Córdoba,Córdoba,1496
411,190000,10,2,130,Córdoba,Córdoba,1462
412,198000,4,2,196,Córdoba,Córdoba,1010
413,220000,5,2,180,Córdoba,Córdoba,1222
414,230000,5,2,188,Córdoba,Córdoba,1223
415,230000,5,3,160,Córdoba,Córdoba,1438
416,230000,5,2,260,Córdoba,Córdoba,885
417,230000,5,2,189,Córdoba,Córdoba,1217
418,230000,7,3,205,Córdoba,Córdoba,1122
419,250000,6,2,220,Córdoba,Córdoba,1136
420,250000,11,4,367,Córdoba,Córdoba,681
421,258000,3,3,226,Córdoba,Córdoba,1142
422,290000,5,3,242,Córdoba,Córdoba,1198
423,290000,5,2,170,Córdoba,Córdoba,1706
424,320000,3,3,223,Córdoba,Córdoba,1435
425,320000,6,2,180,Córdoba,Córdoba,1778
426,330000,10,4,535,Córdoba,Córdoba,617
427,330000,5,3,166,Córdoba,Córdoba,1988
428,350000,7,2,208,Córdoba,Córdoba,1683
429,360000,11,4,340,Córdoba,Córdoba,1059
430,370000,3,4,406,Córdoba,Córdoba,911
431,390000,5,2,230,Córdoba,Córdoba,1696
432,790000,10,4,483,Córdoba,Córdoba,1636
433,850000,9,4,400,Córdoba,Córdoba,2125
434,910000,4,4,562,Córdoba,Córdoba,1619
435,1500000,10,6,730,Córdoba,Córdoba,2055
436,27999,2,1,103,Córdoba,Punilla,272
437,40000,2,1,181,Córdoba,Punilla,221
438,46500,4,1,118,Córdoba,Punilla,394
439,49900,6,2,130,Córdoba,Punilla,384
440,55000,4,1,90,Córdoba,Punilla,611
441,59999,8,1,155,Córdoba,Punilla,387
442,63500,2,2,73,Córdoba,Punilla,870
443,64999,3,1,687,Córdoba,Punilla,95
444,67000,2,1,55,Córdoba,Punilla,1218
445,69500,5,1,140,Córdoba,Punilla,496
446,72900,4,1,68,Córdoba,Punilla,1072
447,73500,3,1,80,Córdoba,Punilla,919
448,74500,3,1,50,Córdoba,Punilla,1490
449,74999,4,1,86,Córdoba,Punilla,872
450,75000,3,1,116,Córdoba,Punilla,647
451,80000,3,2,120,Córdoba,Punilla,667
452,88000,3,1,103,Córdoba,Punilla,854
453,90000,7,2,146,Córdoba,Punilla,616
454,94000,3,2,116,Córdoba,Punilla,810
455,97000,6,2,124,Córdoba,Punilla,782
456,109000,4,1,120,Córdoba,Punilla,908
457,110000,6,3,324,Córdoba,Punilla,340
458,120000,3,2,140,Córdoba,Punilla,857
459,124999,5,1,88,Córdoba,Punilla,1420
460,125000,2,1,80,Córdoba,Punilla,1562
461,125000,4,1,120,Córdoba,Punilla,1042
462,134900,6,2,210,Córdoba,Punilla,642
463,135000,3,2,83,Córdoba,Punilla,1627
464,135000,5,1,145,Córdoba,Punilla,931
465,138000,4,2,108,Córdoba,Punilla,1278
466,140000,5,3,167,Córdoba,Punilla,838
467,148000,3,1,116,Córdoba,Punilla,1276
468,150000,5,2,180,Córdoba,Punilla,833
469,163000,4,2,158,Córdoba,Punilla,1032
470,187000,5,3,180,Córdoba,Punilla,1039
471,198000,3,1,130,Córdoba,Punilla,1523
472,200000,7,2,170,Córdoba,Punilla,1176
473,215000,6,2,163,Córdoba,Punilla,1319
474,225000,6,3,289,Córdoba,Punilla,779
475,225000,6,3,289,Córdoba,Punilla,779
476,249000,12,5,250,Córdoba,Punilla,996
